ticker,company,date_range,total_articles,average_sentiment,sentiment_std,last_week_sentiment,last_month_sentiment,positive_ratio,negative_ratio,latest_update
MA,Mastercard Incorporated,2025-06-27 to 2025-07-27,189,0.15491171835591552,0.46511394948335955,0.1998484790325165,0.1531946179046426,0.2804232804232804,0.12698412698412698,2025-07-27 03:40:00
NVDA,NVIDIA Corporation,2025-07-21 to 2025-07-27,246,0.15128745502088128,0.4801891491035699,0.15128745502088128,0.15128745502088128,0.23577235772357724,0.10975609756097561,2025-07-27 06:15:06
DVN,Devon Energy Corporation,2025-06-27 to 2025-07-25,40,0.1495882734656334,0.5788937661309455,0.15203777296202525,0.15342387022116244,0.25,0.2,2025-07-25 18:54:10
SHOP,Shopify Inc.,2025-06-27 to 2025-07-25,102,0.14278939658520268,0.47551846313724155,0.1359879890213842,0.14278939658520268,0.17647058823529413,0.1568627450980392,2025-07-25 21:23:37
DDOG,Datadog Inc.,2025-06-27 to 2025-07-25,112,0.13888695772205079,0.5143239378275727,-0.18851840325764244,0.1339728784561157,0.22321428571428573,0.15178571428571427,2025-07-25 06:33:52
PACS,PACS Group Inc.,2025-06-30 to 2025-07-03,6,0.13041513562202453,0.23186532977079324,,0.13041513562202453,0.16666666666666666,0.0,2025-07-03 04:14:20
ALK,Alaska Air Group Inc,2025-06-27 to 2025-07-25,52,0.13040190900747592,0.6076003147834992,0.06916573416619075,0.13040190900747592,0.38461538461538464,0.17307692307692307,2025-07-25 09:20:13
MU,Micron Technology Inc.,2025-04-09 to 2025-07-25,177,0.1279296652408643,0.5907808041599851,0.050807877986327465,0.12151130164085432,0.288135593220339,0.24293785310734464,2025-07-25 22:40:00
MSFT,Microsoft Corporation,2025-07-20 to 2025-07-27,248,0.12632276302864476,0.4989903964456375,0.1271461045888604,0.12632276302864476,0.23790322580645162,0.17338709677419356,2025-07-27 03:40:00
GOOGL,Alphabet Inc.,2025-07-21 to 2025-07-27,250,0.1183428709745407,0.48591042725358796,0.1183428709745407,0.1183428709745407,0.248,0.148,2025-07-27 05:13:31
XPO,XPO Inc.,2025-06-30 to 2025-07-25,14,0.11375722459384373,0.4662971247291711,0.25125915606816607,0.11375722459384373,0.07142857142857142,0.14285714285714285,2025-07-25 20:50:59
CVNA, Carvana Co.,2025-06-27 to 2025-07-25,88,0.10670534907416863,0.5293028022563495,0.25998597843893645,0.10670534907416863,0.22727272727272727,0.18181818181818182,2025-07-25 22:12:16
CVS,CVS Health Corporation,2025-06-27 to 2025-07-26,121,0.09608612513739215,0.5745135248794421,0.26942517547046435,0.09688684284687041,0.21487603305785125,0.23140495867768596,2025-07-26 08:45:34
META,Meta Platforms Inc.,2025-07-18 to 2025-07-27,248,0.09572152192554166,0.44585940333411794,0.11838387655869624,0.09572152192554166,0.20161290322580644,0.125,2025-07-27 05:13:31
RCI,Rogers Communications Inc.,2025-06-27 to 2025-07-25,19,0.0902722722605655,0.4275813557998218,0.11738745371500652,0.0902722722605655,0.2631578947368421,0.15789473684210525,2025-07-25 07:40:48
